First,Last,Constituency,Party,parlparse_id
Edward,Mountain,"Highlands and Islands","Scottish Conservative and Unionist Party",
Oliver,Mundell,Dumfriesshire,"Scottish Conservative and Unionist Party",
Alex,Neil,"Airdrie and Shotts","Scottish National Party",14071
Gil,Paterson,"Clydebank and Milngavie","Scottish National Party",14075
Willie,Rennie,"North East Fife","Scottish Liberal Democrats",25111
Shona,Robison,"Dundee City East","Scottish National Party",14085
Douglas,Ross,"Highlands and Islands","Scottish Conservative and Unionist Party",
Gail,Ross,"Caithness, Sutherland and Ross","Scottish National Party",
Alex,Rowley,"Mid Scotland and Fife","Scottish Labour",25218
Mike,Rumbles,"North East Scotland","Scottish Liberal Democrats",
Mark,Ruskell,"Mid Scotland and Fife","Scottish Green Party",
Michael,Russell,"Argyll and Bute","Scottish National Party",14089
Anas,Sarwar,Glasgow,"Scottish Labour",24738
John,Scott,Ayr,"Scottish Conservative and Unionist Party",14091
Tavish,Scott,"Shetland Islands","Scottish Liberal Democrats",14092
Graham,Simpson,"Central Scotland","Scottish Conservative and Unionist Party",
Liz,Smith,"Mid Scotland and Fife","Scottish Conservative and Unionist Party",14096
Elaine,Smith,"Central Scotland","Scottish Labour",14099
Colin,Smyth,"South Scotland","Scottish Labour",
Shirley-Anne,Somerville,Dunfermline,"Scottish National Party",
Stewart,Stevenson,"Banffshire and Buchan Coast","Scottish National Party",14102
Kevin,Stewart,"Aberdeen Central","Scottish National Party",25114
David,Stewart,"Highlands and Islands","Scottish Labour",14103
Alexander,Stewart,"Mid Scotland and Fife","Scottish Conservative and Unionist Party",
Nicola,Sturgeon,"Glasgow Southside","Scottish National Party",14105
John,Swinney,"Perthshire North","Scottish National Party",10581
Ross,Thomson,"North East Scotland","Scottish Conservative and Unionist Party",
Maree,Todd,"Highlands and Islands","Scottish National Party",
Adam,Tomkins,Glasgow,"Scottish Conservative and Unionist Party",
David,Torrance,Kirkcaldy,"Scottish National Party",25115
Maureen,Watt,"Aberdeen South and North Kincardine","Scottish National Party",14115
Annie,Wells,Glasgow,"Scottish Conservative and Unionist Party",
Paul,Wheelhouse,"South Scotland","Scottish National Party",25118
Sandra,White,"Glasgow Kelvin","Scottish National Party",14117
Brian,Whittle,"South Scotland","Scottish Conservative and Unionist Party",
Andy,Wightman,Lothian,"Scottish Green Party",
Humza,Yousaf,"Glasgow Pollok","Scottish National Party",25119
